id,lat,lon
osm5631115667,43.0535294,-89.46856
osm13107986836,43.0777432,-89.3795712
osm13107986835,43.0778476,-89.3797155
osm5631115675,43.0548448,-89.4637965
osm5631115677,43.0554418,-89.4627894
osm5631115679,43.0567277,-89.461232
osm5631115680,43.0562636,-89.4628052
osm5631115686,43.073998,-89.4542985
osm5631115687,43.0740148,-89.454451
osm5631115688,43.0740905,-89.4544286
osm5631115689,43.0741631,-89.454413
osm6776816051,43.0764173,-89.4289201
osm387187126,43.0644165,-89.3896691
osm9121933949,43.0616119,-89.4654328
osm10007216582,43.0309584,-89.4107556
osm9121933950,43.0615932,-89.4654532
osm10007216591,43.0309167,-89.4107567
osm10007216593,43.0309527,-89.4103475
osm10007216594,43.0314186,-89.4109571
osm1224344020,43.0464207,-89.3747073
osm10007216596,43.0310763,-89.4107542
osm2343961066,43.0765074,-89.4218491
osm2343961072,43.0981917,-89.3439048
osm2343961074,43.0986419,-89.3405529
osm2343961079,43.0997659,-89.3385937
osm1224344065,43.046742,-89.3746564
osm53608986,43.0735147,-89.3917286
osm4317643308,43.0495416,-89.3978333
osm4317643313,43.0500821,-89.3998034
osm4317643314,43.0501623,-89.3998519
osm4317643315,43.050186,-89.399908
osm4670095935,43.0719656,-89.403848
osm5371331150,43.0801448,-89.3806961
osm5371331151,43.0800848,-89.3806188
osm5371331152,43.080087,-89.3807753
osm5371331153,43.0800381,-89.3808524
osm5371331154,43.0794971,-89.3798254
osm5656937043,43.0922615,-89.3408467
osm5656937044,43.0923285,-89.340914
osm5371331157,43.0784819,-89.3789349
osm5656937046,43.0922352,-89.3398751
osm5656937047,43.0921887,-89.3397851
osm5371331156,43.0793754,-89.3796847
osm5371331155,43.0794376,-89.379751
osm5656937050,43.0923154,-89.3397813
osm13876593242,43.0343812,-89.4450348
osm5371331159,43.0783718,-89.3787952
osm5371331162,43.0792569,-89.3798441
osm5371331166,43.0794238,-89.3799244
osm5371331163,43.079307,-89.3797725
osm13876593248,43.0343806,-89.4447308
osm5371331165,43.0793751,-89.3799892
osm5371331164,43.0793179,-89.3799192
osm5656937051,43.0923125,-89.339718
osm5656937052,43.0922268,-89.3415149
osm5656937053,43.0922108,-89.3410092
osm5656937056,43.0909524,-89.3410473
osm5656937061,43.0908411,-89.3420168
osm5656937063,43.091847,-89.3419833
osm9157214825,43.0681905,-89.4025201
osm9157214826,43.0682071,-89.4023931
osm13876593251,43.034208,-89.4457023
osm5656937070,43.092276,-89.3415105
osm7194411639,43.0386642,-89.4084286
osm5656937081,43.0905874,-89.3403319
osm5656937082,43.0909572,-89.3404942
osm7194411646,43.036661,-89.4084378
osm7194411647,43.036731,-89.4084379
osm5656937090,43.0913801,-89.33877
osm5656937091,43.0911086,-89.3398782
osm5656937092,43.0911494,-89.3398931
osm5656937093,43.0912568,-89.3398124
osm5656937094,43.0912793,-89.3397392
osm5656937095,43.0907205,-89.3420176
osm12990022280,43.0685077,-89.4118878
osm12990022282,43.0684925,-89.4118685
osm12990022283,43.0687754,-89.4114528
osm12990022284,43.0687585,-89.4114302
osm5656937104,43.0903755,-89.3408334
osm5656937107,43.0905539,-89.340488
osm5656937109,43.0909247,-89.3406518
osm5656937111,43.0908859,-89.3408704
osm12990022297,43.0688271,-89.4114004
osm9075294875,43.0755484,-89.4200935
osm5656937117,43.0907652,-89.342016
osm5656937118,43.0968699,-89.3414429
osm9075294879,43.0755489,-89.4227348
osm5656937120,43.0952813,-89.3405665
osm5656937119,43.0953007,-89.34149
osm9075294882,43.075452,-89.4217119
osm9075294883,43.075453,-89.4219342
osm9075294884,43.0754548,-89.4219603
osm7803634355,43.0521759,-89.3207533
osm7803634356,43.0522565,-89.32072
osm7803634358,43.0527788,-89.3212032
osm7803634359,43.0524006,-89.3218432
osm6186074808,43.0590374,-89.4084524
osm6186074809,43.0584564,-89.4078137
osm387187387,43.0658779,-89.388589
osm6186074815,43.0584685,-89.4082328
osm387187392,43.0644474,-89.3912535
osm6186074816,43.0585613,-89.408315
osm6186074829,43.0587497,-89.4085622
osm4527217254,43.0759883,-89.4005253
osm5983699667,43.0657654,-89.3909184
osm13196853972,43.0748389,-89.3911062
osm13196853973,43.0748405,-89.3912393
osm366215894,43.0809763,-89.3750772
osm13196853975,43.0748839,-89.3913712
osm13196853974,43.0748668,-89.3911523
osm5428085465,43.0400895,-89.4527959
osm13196853977,43.0748592,-89.3912908
osm366215899,43.0822615,-89.3733173
osm13196853979,43.0748811,-89.3911303
osm5983699677,43.0664459,-89.3915663
osm6186074843,43.0588086,-89.4089346
osm5983699679,43.0672137,-89.3904988
osm5983699680,43.0672771,-89.3905675
osm5983699681,43.0666816,-89.389796
osm5983699682,43.0673343,-89.390338
osm366215907,43.0835146,-89.371527
osm5983699683,43.0679732,-89.3894331
osm6186074849,43.0589561,-89.4089604
osm6186074852,43.0589895,-89.4089961
osm13196853988,43.074844,-89.3912911
osm13196853984,43.0748666,-89.3911306
osm6186074857,43.0589045,-89.4090804
osm366215913,43.0847764,-89.3697431
osm6186074859,43.0588304,-89.4091737
osm2988966637,43.0687497,-89.3961039
osm2988966639,43.069161,-89.3959781
