from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm3938398537,osm3938398550,10.53,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938398550,osm3938398537,10.53,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938398550,osm3938253784,8.99,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938253784,osm3938398550,8.99,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938253784,osm3938253772,38.95,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938253772,osm3938253784,38.95,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938253772,osm3939020264,5.89,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020264,osm3938253772,5.89,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020264,osm3939020269,29.99,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020269,osm3939020264,29.99,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020269,osm3939020298,65.24,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020298,osm3939020269,65.24,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020298,osm3939020293,19.41,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020293,osm3939020298,19.41,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020293,osm53280082,4.49,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280082,osm3939020293,4.49,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280082,osm3939020320,32.19,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020320,osm53280082,32.19,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939020320,osm3204901557,43.07,residential,asphalt,,,20 mph,Blackhawk Drive
osm3204901557,osm3939020320,43.07,residential,asphalt,,,20 mph,Blackhawk Drive
osm3204901557,osm3204901699,65.95,residential,asphalt,,,20 mph,Blackhawk Drive
osm3204901699,osm3204901557,65.95,residential,asphalt,,,20 mph,Blackhawk Drive
osm3204901699,osm53280096,29.01,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280096,osm3204901699,29.01,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280132,osm1215684999,119.49,tertiary,,,,30 mph,Nob Hill Road
osm1215684999,osm53280132,119.49,tertiary,,,,30 mph,Nob Hill Road
osm1215684999,osm53280146,48.94,tertiary,,,,30 mph,Nob Hill Road
osm53280146,osm1215684999,48.94,tertiary,,,,30 mph,Nob Hill Road
osm53280146,osm558521859,63.03,tertiary,,,,30 mph,Nob Hill Road
osm558521859,osm53280146,63.03,tertiary,,,,30 mph,Nob Hill Road
osm558521859,osm53280158,256.08,tertiary,,,,30 mph,Nob Hill Road
osm53280158,osm558521859,256.08,tertiary,,,,30 mph,Nob Hill Road
osm53280158,osm53280166,145.6,tertiary,,,,30 mph,Nob Hill Road
osm53280166,osm53280158,145.6,tertiary,,,,30 mph,Nob Hill Road
osm53280166,osm1215434531,170.9,tertiary,,,,30 mph,Nob Hill Road
osm1215434531,osm53280166,170.9,tertiary,,,,30 mph,Nob Hill Road
osm1215434531,osm1215434551,40.06,tertiary,,,,30 mph,Nob Hill Road
osm1215434551,osm1215434531,40.06,tertiary,,,,30 mph,Nob Hill Road
osm1215434551,osm8427622067,44.0,tertiary,,,,30 mph,Nob Hill Road
osm8427622067,osm1215434551,44.0,tertiary,,,,30 mph,Nob Hill Road
